                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 1.3811,                0.83513,                 2.1477,                0.89214,                 0.8878,                0.91334,                0.58796,                 1.2626,                0.81217,                 2.3715,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.3329,                0.85047,                 2.1234,                0.91139,                0.97273,                0.92207,                0.59988,                 1.1517,                0.99579,                  2.032,              0.0090397,              0.0090397,              0.0090397
                     99,                   1.35,                0.83221,                 2.1554,                0.88476,                0.95036,                0.92504,                0.59892,                 1.1901,                0.93221,                 2.0992,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.3386,                0.80472,                 2.1575,                0.82884,                0.85384,                0.87303,                0.56038,                 1.3059,                0.94612,                 2.2202,              0.0090199,              0.0090199,              0.0090199
                    101,                 1.3244,                0.80481,                 2.1004,                0.76306,                0.80449,                0.82335,                0.49216,                 1.3855,                 1.0744,                  2.438,                0.00901,                0.00901,                0.00901
                    102,                 1.3325,                0.79508,                 2.1185,                0.89244,                0.95144,                0.92681,                0.58972,                  1.233,                0.74247,                 2.2352,              0.0090001,              0.0090001,              0.0090001
                    103,                 1.3439,                0.82833,                 2.1444,                0.85059,                0.76874,                0.87833,                0.51289,                 1.4442,                 1.0695,                 2.5371,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.3884,                0.78319,                 2.2124,                0.89753,                0.95306,                0.94762,                 0.6558,                 1.0951,                0.68328,                 2.0699,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.3573,                0.80472,                 2.1613,                0.91014,                0.90909,                0.89656,                0.56734,                 1.3618,                0.82905,                 2.4721,              0.0089704,              0.0089704,              0.0089704
                    106,                   1.31,                0.74971,                 2.1054,                0.91306,                0.91444,                0.92634,                0.56671,                 1.3055,                0.80772,                 2.3609,              0.0089605,              0.0089605,              0.0089605
                    107,                 1.2888,                 0.7511,                 2.1073,                0.89964,                0.93283,                0.93467,                0.58513,                 1.2119,                0.69388,                 2.2365,              0.0089506,              0.0089506,              0.0089506
                    108,                 1.2414,                0.76051,                 2.0441,                0.92058,                0.97019,                 0.9516,                0.63815,                 1.1175,                0.71768,                 2.1025,              0.0089407,              0.0089407,              0.0089407
                    109,                 1.2373,                0.72616,                 2.0452,                0.91022,                0.92886,                 0.9249,                0.61026,                 1.1579,                0.83624,                 2.1423,              0.0089308,              0.0089308,              0.0089308
                    110,                  1.264,                 0.7316,                 2.0564,                0.81346,                0.88778,                0.89109,                 0.5723,                 1.2112,                  1.376,                 2.3077,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.3046,                0.76744,                 2.1101,                0.82189,                0.91114,                 0.8906,                0.58878,                 1.1535,                 1.2637,                 2.1942,               0.008911,               0.008911,               0.008911
                    112,                 1.3161,                0.80792,                 2.0968,                0.91282,                0.96198,                0.92513,                0.54304,                 1.3725,                 1.6373,                 2.6022,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.3406,                0.84223,                 2.1765,                0.90172,                0.91818,                0.90525,                   0.62,                 1.1285,                 1.1743,                 2.1997,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.3417,                0.81031,                 2.1267,                0.92394,                0.95283,                0.92254,                0.57619,                 1.2895,                 0.7679,                 2.3372,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.2812,                0.79341,                 2.0798,                0.88125,                0.74456,                0.79817,                0.48819,                 1.2995,                 1.1661,                 2.4143,              0.0088714,              0.0088714,              0.0088714
                    116,                  1.246,                0.74601,                  2.063,                0.92585,                0.94715,                0.93321,                0.62647,                 1.1704,                0.70607,                 2.1533,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.2721,                 0.7681,                 2.0458,                0.72007,                0.76688,                0.74035,                0.47705,                 1.2343,                 1.2685,                 2.2416,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.2781,                0.73116,                 2.0642,                0.93371,                0.97273,                0.93665,                0.61829,                 1.2669,                0.71663,                 2.2879,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.2644,                0.74637,                 2.0298,                 0.8785,                0.93016,                0.92694,                0.63351,                  1.197,                0.71638,                 2.1696,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.2652,                   0.79,                 2.0609,                0.92274,                0.93591,                0.91815,                0.61372,                 1.2112,                0.80277,                 2.2308,              0.0088219,              0.0088219,              0.0088219
                    121,                 1.2332,                0.72826,                 2.0263,                0.91027,                0.94762,                0.93723,                0.64122,                 1.0917,                0.79545,                 2.0242,               0.008812,               0.008812,               0.008812
                    122,                 1.2777,                0.75272,                 2.0252,                0.92313,                0.92309,                 0.9304,                0.65459,                 1.0648,                0.76528,                 1.9821,              0.0088021,              0.0088021,              0.0088021
                    123,                 1.2852,                0.72235,                 2.0948,                0.93265,                0.91224,                0.93273,                0.64097,                 1.1372,                0.71645,                 2.1088,              0.0087922,              0.0087922,              0.0087922
